Metric,Frequency (Hz),p_value,Mean_Exp,Mean_Ctrl
CO2_smooth,550.9,3.1654232813432434e-06,4651.222222222223,1425.607163000564
CO2_smooth,550.7,3.2031410793798116e-06,4655.777777777777,1425.607163000564
CO2_smooth,550.5,3.2618134640518193e-06,4660.888888888889,1425.607163000564
CO2_smooth,550.3,3.3162829972795365e-06,4666.444444444444,1425.607163000564
CO2_smooth,587.7,3.32675655766115e-06,4411.555555555556,1425.607163000564
CO2_smooth,550.1,3.390267346389241e-06,4670.666666666667,1425.607163000564
CO2_smooth,549.9,3.4305503004093633e-06,4675.333333333333,1425.607163000564
CO2_smooth,549.7,3.457660153625845e-06,4679.666666666667,1425.607163000564
CO2_smooth,587.9,3.4685614980506107e-06,4412.333333333333,1425.607163000564
CO2_smooth,549.5,3.4822345592421244e-06,4683.888888888889,1425.607163000564
CO2_smooth,549.3,3.506976399647578e-06,4689.333333333333,1425.607163000564
CO2_smooth,588.1,3.515261076458128e-06,4416.0,1425.607163000564
CO2_smooth,549.1,3.537445368049388e-06,4695.888888888889,1425.607163000564
CO2_smooth,588.3,3.573781419952663e-06,4419.444444444444,1425.607163000564
CO2_smooth,548.9,3.6161523668515315e-06,4701.888888888889,1425.607163000564
CO2_smooth,548.7,3.6446667714013486e-06,4708.111111111111,1425.607163000564
CO2_smooth,588.5,3.725658491139522e-06,4420.666666666667,1425.607163000564
CO2_smooth,548.3,3.763845621114496e-06,4717.666666666667,1425.607163000564
CO2_smooth,588.7,3.7905023872177716e-06,4424.111111111111,1425.607163000564
CO2_smooth,588.9,3.847373325567592e-06,4428.222222222223,1425.607163000564
CO2_smooth,589.1,3.91731174941373e-06,4431.222222222223,1425.607163000564
CO2_smooth,589.3,3.98534850289851e-06,4433.111111111111,1425.607163000564
CO2_smooth,548.1,3.99158952588312e-06,4719.111111111111,1425.607163000564
CO2_smooth,589.5,4.13128534138304e-06,4434.222222222223,1425.607163000564
CO2_smooth,589.7,4.2424287514434565e-06,4436.888888888889,1425.607163000564
CO2_smooth,589.9,4.268993485868627e-06,4439.777777777777,1425.607163000564
CO2_smooth,547.9,4.312501459052757e-06,4719.333333333333,1425.607163000564
CO2_smooth,547.7,4.466410369445155e-06,4722.666666666667,1425.607163000564
CO2_smooth,547.5,4.5329620867780095e-06,4728.0,1425.607163000564
CO2_smooth,547.3,4.61838601513652e-06,4736.888888888889,1425.607163000564
CO2_smooth,547.1,4.73100963133019e-06,4743.555555555556,1425.607163000564
CO2_smooth,546.9,4.820003953946755e-06,4749.0,1425.607163000564
CO2_smooth,542.5,4.839249597125159e-06,4442.867,1425.607163000564
CO2_smooth,546.7,4.906793197952408e-06,4754.555555555556,1425.607163000564
CO2_smooth,546.5,5.03393531787343e-06,4761.222222222223,1425.607163000564
CO2_smooth,546.3,5.152251788023231e-06,4768.444444444444,1425.607163000564
CO2_smooth,546.1,5.293653893200149e-06,4773.888888888889,1425.607163000564
CO2_smooth,545.9,5.455592087235605e-06,4779.444444444444,1425.607163000564
CO2_smooth,545.7,5.591996203949826e-06,4786.555555555556,1425.607163000564
CO2_smooth,544.5,6.688323422987971e-06,4816.666666666667,1425.607163000564
CO2_smooth,544.3,6.80706194525661e-06,4822.0,1425.607163000564
CO2_smooth,544.1,6.93311172850586e-06,4828.666666666667,1425.607163000564
CO2_smooth,543.9,7.05061607793981e-06,4835.222222222223,1425.607163000564
CO2_smooth,543.7,7.159089134660479e-06,4843.166666666667,1425.607163000564
CO2_smooth,544.9,7.159089134660479e-06,4654.527777777777,1425.607163000564
CO2_smooth,543.5,7.2359679497148775e-06,4851.611111111111,1425.607163000564
CO2_smooth,543.3,7.335972806545142e-06,4860.611111111111,1425.607163000564
CO2_smooth,543.1,7.505591046051846e-06,4866.888888888889,1425.607163000564
CO2_smooth,542.9,7.620746387058399e-06,4872.944444444444,1425.607163000564
CO2_smooth,544.7,8.24730303293472e-06,4608.703333333334,1425.607163000564
CO2_smooth,590.5,8.482800528453887e-06,4546.375,1425.607163000564
CO2_smooth,545.3,8.663590263531012e-06,4557.322222222222,1425.607163000564
CO2_smooth,545.1,8.83566494036923e-06,4560.444444444444,1425.607163000564
CO2_smooth,542.7,9.315326826425059e-06,4667.852222222222,1425.607163000564
CO2_smooth,541.9,9.421299822879664e-06,4901.555555555556,1425.607163000564
CO2_smooth,541.7,1.0036360730120562e-05,4906.111111111111,1425.607163000564
CO2_smooth,593.5,1.005976588489306e-05,4572.0,1425.607163000564
CO2_smooth,541.5,1.0257471518710702e-05,4912.333333333333,1425.607163000564
CO2_smooth,541.3,1.0475366510751258e-05,4919.666666666667,1425.607163000564
CO2_smooth,541.1,1.0705700108008332e-05,4926.222222222223,1425.607163000564
CO2_smooth,540.9,1.0842963109950523e-05,4933.666666666667,1425.607163000564
CO2_smooth,542.3,1.0957263408342058e-05,4632.9,1425.607163000564
CO2_smooth,540.7,1.1039609791730434e-05,4940.0,1425.607163000564
CO2_smooth,540.5,1.1180956384807129e-05,4946.0,1425.607163000564
CO2_smooth,540.3,1.1468849547511272e-05,4952.777777777777,1425.607163000564
CO2_smooth,542.1,1.1486002898382104e-05,4638.5,1425.607163000564
CO2_smooth,596.5,1.221017960125792e-05,4596.125,1425.607163000564
CO2_smooth,540.1,1.2292916078030379e-05,4957.333333333333,1425.607163000564
CO2_smooth,599.5,1.3982547199152442e-05,4645.0,1425.607163000564
CO2_smooth,590.1,1.5840496221431235e-05,4842.714285714285,1425.607163000564
CO2_smooth,590.3,1.608031241409662e-05,4844.428571428572,1425.607163000564
CO2_smooth,590.7,1.64739772540941e-05,4847.428571428572,1425.607163000564
CO2_smooth,590.9,1.693311226430061e-05,4847.0,1425.607163000564
CO2_smooth,591.1,1.7103074022135052e-05,4845.857142857143,1425.607163000564
CO2_smooth,591.3,1.7174370169551328e-05,4846.285714285715,1425.607163000564
CO2_smooth,591.5,1.7303417440019895e-05,4848.857142857143,1425.607163000564
CO2_smooth,591.7,1.7346638171880297e-05,4853.0,1425.607163000564
CO2_smooth,591.9,1.7404425824491216e-05,4856.428571428572,1425.607163000564
CO2_smooth,592.1,1.7622767459445416e-05,4859.142857142857,1425.607163000564
CO2_smooth,592.3,1.796263410266288e-05,4861.142857142857,1425.607163000564
CO2_smooth,592.5,1.821784375408582e-05,4862.285714285715,1425.607163000564
CO2_smooth,592.7,1.8785292597332923e-05,4863.285714285715,1425.607163000564
CO2_smooth,592.9,1.9035855301866647e-05,4865.571428571428,1425.607163000564
CO2_smooth,593.1,1.9162327205334164e-05,4868.285714285715,1425.607163000564
CO2_smooth,593.3,1.933753335304441e-05,4871.714285714285,1425.607163000564
CO2_smooth,593.7,1.9498134745509843e-05,4879.714285714285,1425.607163000564
CO2_smooth,593.9,1.954656236559826e-05,4885.0,1425.607163000564
CO2_smooth,594.1,1.961131065267491e-05,4890.428571428572,1425.607163000564
CO2_smooth,594.3,1.990521426545651e-05,4894.714285714285,1425.607163000564
CO2_smooth,594.5,2.045496418375798e-05,4895.428571428572,1425.607163000564
CO2_smooth,594.7,2.108853639176882e-05,4891.571428571428,1425.607163000564
CO2_smooth,594.9,2.181241372540917e-05,4885.571428571428,1425.607163000564
CO2_smooth,595.1,2.235699920779883e-05,4878.142857142857,1425.607163000564
CO2_smooth,595.3,2.2764560228231462e-05,4877.857142857143,1425.607163000564
CO2_smooth,595.5,2.297098285817657e-05,4880.714285714285,1425.607163000564
CO2_smooth,595.7,2.3160184379435e-05,4885.0,1425.607163000564
CO2_smooth,595.9,2.3312612307643793e-05,4888.857142857143,1425.607163000564
CO2_smooth,596.1,2.3465994607120777e-05,4892.857142857143,1425.607163000564
CO2_smooth,596.3,2.363969744810438e-05,4897.428571428572,1425.607163000564
CO2_smooth,596.7,2.404977420152557e-05,4906.857142857143,1425.607163000564
CO2_smooth,596.9,2.4426620227537023e-05,4911.714285714285,1425.607163000564
CO2_smooth,597.1,2.4687691787203994e-05,4916.285714285715,1425.607163000564
CO2_smooth,597.3,2.480907972686997e-05,4921.142857142857,1425.607163000564
CO2_smooth,597.5,2.4971813671289548e-05,4925.142857142857,1425.607163000564
CO2_smooth,597.7,2.509452989613812e-05,4928.714285714285,1425.607163000564
CO2_smooth,597.9,2.5197231489375208e-05,4932.571428571428,1425.607163000564
CO2_smooth,598.1,2.538310264323825e-05,4936.0,1425.607163000564
CO2_smooth,598.3,2.5591155461732967e-05,4939.857142857143,1425.607163000564
CO2_smooth,598.5,2.584296021501204e-05,4943.571428571428,1425.607163000564
CO2_smooth,598.7,2.6054595806902545e-05,4947.857142857143,1425.607163000564
CO2_smooth,598.9,2.6267879074247183e-05,4951.142857142857,1425.607163000564
CO2_smooth,599.1,2.659091981836599e-05,4953.571428571428,1425.607163000564
CO2_smooth,599.3,2.71377320816791e-05,4955.285714285715,1425.607163000564
CO2_smooth,599.7,2.7785429029954466e-05,4961.428571428572,1425.607163000564
CO2_smooth,599.9,2.7898575972902256e-05,4966.428571428572,1425.607163000564
CO2_smooth,290.5,0.01074958286221656,3773.0,1425.607163000564
CO2_smooth,577.8,0.010889464584841232,3653.3333333333335,1425.607163000564
CO2_smooth,577.6,0.010898260670912627,3644.3333333333335,1425.607163000564
CO2_smooth,578.0,0.010951169885454755,3658.6666666666665,1425.607163000564
CO2_smooth,577.4,0.010968856946249743,3632.0,1425.607163000564
CO2_smooth,287.5,0.010986569386249211,3735.0,1425.607163000564
CO2_smooth,567.2,0.010995435127698343,3409.0,1425.607163000564
